full_name,gender,classification_method,role,total_mentions,mentions_openai,mentions_anthropic,mentions_perplexity,mentions_gemini,mentions_by_category,first_mention_context
Roy Illsley,M,gender-guesser,analyst,8,1,4,0,3,"{""cloud and infrastructure"": 3, ""networking and telecommunications"": 4, ""ICT"": 1}",Analysts such as Roy Illsley have been recognized for their cloud infrastructure knowledge.
Ursula Burns,F,gender-guesser,vendor_exec,17,9,1,0,7,"{""cloud and infrastructure"": 8, ""networking and telecommunications"": 9}",Ursula Burns has also been involved in cloud and infrastructure through her board positions and advisory roles in tech companies.
Padmasree Warrior,F,llm-high,vendor_exec,41,14,9,8,10,"{""cloud and infrastructure"": 13, ""networking and telecommunications"": 27, ""ICT"": 1}",Padmasree Warrior has been influential in driving innovation in cloud technologies and digital infrastructure.
Amy Hood,F,gender-guesser,vendor_exec,8,5,3,0,0,"{""cloud and infrastructure"": 7, ""networking and telecommunications"": 1}","Amy Hood has been instrumental in the financial strategies that have supported Microsoft's growth in cloud services, particularly Azure."
Deirdre Hanford,F,gender-guesser,practitioner,1,1,0,0,0,"{""cloud and infrastructure"": 1}",Deirdre Hanford is a key figure in ensuring that infrastructure and cloud services are secure and reliable.
Aparna Sinha,F,gender-guesser,vendor_exec,5,2,0,0,3,"{""cloud and infrastructure"": 5}",Aparna Sinha has been influential in the development of Kubernetes and other cloud-native technologies.
Jessica McKellar,F,gender-guesser,practitioner,1,1,0,0,0,"{""cloud and infrastructure"": 1}","Jessica McKellar - An engineer and entrepreneur, McKellar has contributed to open-source projects and cloud infrastructure, and was a director at Python Software Foundation."
Julia White,F,gender-guesser,vendor_exec,12,2,8,0,2,"{""cloud and infrastructure"": 12}","Julia White - As a key executive at Microsoft for many years, White was instrumental in the marketing and growth of Microsoft Azure and Office 365."
Kate Matsudaira,F,gender-guesser,founder_ceo,1,1,0,0,0,"{""cloud and infrastructure"": 1}","Kate Matsudaira - A technology executive and entrepreneur, Matsudaira has worked with various cloud and infrastructure startups and large companies."
Kimberly Bryant,F,llm-high,founder_ceo,23,1,6,5,11,"{""cloud and infrastructure"": 2, ""software engineering"": 11, ""ICT"": 9, ""data and analytics"": 1}","Kimberly Bryant - Founder of Black Girls CODE, Bryant is influential in promoting diversity in tech, including cloud and infrastructure fields."
Anne Wojcicki,F,gender-guesser,founder_ceo,3,1,1,0,1,"{""cloud and infrastructure"": 2, ""ICT"": 1}","Anne Wojcicki: While more known for 23andMe, Wojcicki's work intersects with cloud computing through the use of cloud infrastructure for data analysis and storage in genomics."
Jennifer Tejada,F,gender-guesser,founder_ceo,4,4,0,0,0,"{""cloud and infrastructure"": 4}","Jennifer Tejada: As CEO of PagerDuty, Tejada has been leading efforts in digital operations management, which is crucial for modern cloud infrastructure."
Rashmi Kumar,F,gender-guesser,vendor_exec,2,2,0,0,0,"{""cloud and infrastructure"": 2}","Rashmi Kumar - As the SVP & CIO at Hewlett Packard Enterprise, Kumar plays a key role in driving HPE's IT strategy, including its cloud and infrastructure initiatives."
David Clarke,M,gender-guesser,academic,24,11,5,0,8,"{""cloud and infrastructure"": 1, ""networking and telecommunications"": 23}",including Chief Technology Officer David Clarke and other female executives driving the company's technology strategy.
Aneel Bhusri,M,gender-guesser,founder_ceo,5,3,0,2,0,"{""cloud and infrastructure"": 5}","Aneel Bhusri - While not a woman, it's worth mentioning that executives like Bhusri, who is the CEO of Workday, have worked closely with women in leadership roles."
Kate Brandt,F,gender-guesser,vendor_exec,2,2,0,0,0,"{""cloud and infrastructure"": 2}","Kate Brandt - As Google's Chief Sustainability Officer, Brandt plays a key role in ensuring that Google Cloud operates sustainably."
Teresa Carlson,F,gender-guesser,vendor_exec,3,1,0,0,2,"{""cloud and infrastructure"": 3}","Teresa Carlson - Former VP of Worldwide Public Sector at Amazon Web Services (AWS), Carlson was instrumental in driving AWS's growth."
Ray O'Farrell,M,llm-high,vendor_exec,3,3,0,0,0,"{""cloud and infrastructure"": 3}",Ray O'Farrell - Former CTO of VMware and a key contributor to the development of VMware's cloud strategy.
Chano Fernandez,M,llm-high,founder_ceo,2,2,0,0,0,"{""cloud and infrastructure"": 2}","Aneel Bhusri and Chano Fernandez - Co-CEOs of Workday, they have been instrumental in developing cloud-based enterprise applications."
Kimberly Anstett,F,llm-high,vendor_exec,1,1,0,0,0,"{""cloud and infrastructure"": 1}","Kimberly Anstett - As the CTO of Iron Mountain, Anstett has played a key role in driving the company's transition to cloud services."
Larry Ellison,M,gender-guesser,founder_ceo,8,1,0,5,2,"{""cloud and infrastructure"": 2, ""networking and telecommunications"": 5, ""ICT"": 1}","Larry Ellison - Co-founder and CTO of Oracle. He has been a vocal advocate for cloud infrastructure and services, especially with Oracle Cloud."
Julie Larson-Green,F,gender-guesser,vendor_exec,1,1,0,0,0,"{""cloud and infrastructure"": 1}","Julie Larson-Green - With a significant tenure at Microsoft, Larson-Green played a crucial role in developing Windows and Office products, and later took on leadership roles at Qualtrics"
Sarah Novotny,F,gender-guesser,vendor_exec,14,1,2,0,11,"{""cloud and infrastructure"": 14}","Sarah Novotny - With her work at Microsoft and previously at Google, Novotny has been a strong advocate for open-source cloud technologies, including Kubernetes"
Clay Magouyrk,M,gender-guesser,vendor_exec,6,1,0,5,0,"{""cloud and infrastructure"": 6}","Clay Magouyrk - Executive Vice President of Oracle Cloud Infrastructure, known for advancing Oracle's cloud services."
Jassy Singh,unclassified,unclassified,academic,1,1,0,0,0,"{""cloud and infrastructure"": 1}","Jassy Singh - A leading cloud computing expert and educator, known for his work in cloud strategy and architecture."
Michael Dell,M,gender-guesser,founder_ceo,9,5,0,4,0,"{""cloud and infrastructure"": 9}","Michael Dell - Chairman and CEO of Dell Technologies; his company has been a major player in cloud infrastructure, particularly with its acquisition of EMC."
"Robert ""Uncle Bob"" Martin",M,gender-guesser,influencer,177,59,52,7,59,"{""software engineering"": 177}",Robert C. Martin (Uncle Bob) - A software engineer and author who has been an influential figure in the development of agile practices and the Clean Code movement.
Kent Beck,M,gender-guesser,practitioner,189,63,59,10,57,"{""software engineering"": 189}","Kent Beck - One of the original signatories of the Agile Manifesto, Beck is known for creating Extreme Programming (XP) and his work on test-driven development (TDD)."
Grady Booch,M,gender-guesser,practitioner,125,53,45,6,21,"{""software engineering"": 125}",Grady Booch - Known for his work in software architecture and the development of the Unified Modeling Language (UML).
Donald E. Knuth,M,gender-guesser,academic,100,32,35,0,33,"{""software engineering"": 95, ""ICT"": 5}","Donald Knuth - An expert in algorithms and author of the multi-volume work ""The Art of Computer Programming,"" Knuth has made substantial contributions to computer science and software engineering."
Eric Evans,M,gender-guesser,practitioner,79,21,38,0,20,"{""software engineering"": 79}","Eric Evans - Known for his work on Domain-Driven Design (DDD), Evans has influenced how developers think about software design and architecture."
Mary and Tom Poppendieck,unclassified,unclassified,influencer,51,22,5,0,24,"{""software engineering"": 51}","Mary and Tom Poppendieck - Advocates of Lean Software Development, they have authored several books on applying lean principles to software engineering."
Jeff Sutherland,M,gender-guesser,founder_ceo,33,4,4,1,24,"{""software engineering"": 33}","Jeff Sutherland - Co-creator of the Scrum framework, Sutherland's work has significantly impacted agile software development practices."
Erich Gamma,M,gender-guesser,academic,41,8,0,0,33,"{""software engineering"": 41}","Erich Gamma: One of the co-authors of ""Design Patterns: Elements of Reusable Object-Oriented Software,"" a seminal book in software engineering."
Steve McConnell,M,gender-guesser,influencer,43,17,6,0,20,"{""software engineering"": 43}","Steve McConnell: An influential author known for his books on software development practices, including ""Code Complete."""
Michael Feathers,M,gender-guesser,practitioner,46,16,14,0,16,"{""software engineering"": 46}","Michael Feathers: Known for his work on legacy code and his book ""Working Effectively with Legacy Code,"" which provides strategies."
Bjarne Stroustrup,M,gender-guesser,academic,41,13,9,6,13,"{""software engineering"": 41}","Bjarne Stroustrup: The creator of C++, Stroustrup's work has influenced software development through the widespread use of this programming language."
Mary Shaw,F,llm-high,academic,19,4,11,0,4,"{""software engineering"": 19}","Mary Shaw: A pioneer in software architecture and engineering education, Shaw has contributed extensively to software design and architecture practices."
Jez Humble,unclassified,unclassified,practitioner,65,14,8,2,41,"{""software engineering"": 55, ""cloud and infrastructure"": 10}","Co-author of ""Continuous Delivery"" and ""Accelerate,"" Jez Humble is a leading voice in DevOps and continuous integration/delivery practices."
Sandi Metz,M,gender-guesser,practitioner,7,5,1,0,1,"{""software engineering"": 7}","Known for her expertise in object-oriented design, Sandi Metz is a respected author and speaker, particularly recognized for her book."
Guido van Rossum,M,gender-guesser,practitioner,48,12,9,8,19,"{""software engineering"": 41, ""ICT"": 6, ""data and analytics"": 1}",Guido van Rossum - Creator of the Python programming language.
James Gosling,M,gender-guesser,practitioner,64,9,11,33,11,"{""software engineering"": 39, ""ICT"": 25}","James Gosling - Known as the ""father"" of the Java programming language."
David Thomas,M,gender-guesser,influencer,20,5,3,0,12,"{""software engineering"": 20}","Dave Thomas: Co-author of ""The Pragmatic Programmer,"" Thomas has been a strong advocate for pragmatic and agile approaches to software development."
David Heinemeier Hansson,M,gender-guesser,founder_ceo,2,2,0,0,0,"{""software engineering"": 2}","DHH (David Heinemeier Hansson) - Creator of Ruby on Rails and a partner at Basecamp, known for his outspoken views on software development and business."
Ken Schwaber,M,gender-guesser,founder_ceo,28,2,1,1,24,"{""software engineering"": 28}","Jeff Sutherland and Ken Schwaber - Co-creators of the Scrum methodology, which is widely used in agile software development."
Martin Odersky,M,gender-guesser,academic,2,2,0,0,0,"{""software engineering"": 2}","Martin Odersky - Creator of the Scala programming language and a professor of programming methods at EPFL in Lausanne, Switzerland."
Tom Poppendieck,M,gender-guesser,influencer,35,12,0,0,23,"{""software engineering"": 35}","Mary and Tom Poppendieck - Advocates for Lean Software Development, they have adapted Lean principles to software engineering practices."
Anders Hejlsberg,M,gender-guesser,practitioner,34,5,19,7,3,"{""software engineering"": 34}","A key figure behind the development of several programming languages, including Turbo Pascal, Delphi, and C#."
Dennis Ritchie,M,gender-guesser,practitioner,26,4,8,8,6,"{""software engineering"": 26}","Ken Thompson and Dennis Ritchie - Creators of Unix and the C programming language, which have had a profound"
David L. Parnas,M,gender-guesser,academic,25,1,11,0,13,"{""software engineering"": 25}",Mary Shaw and David Parnas - Both have made foundational contributions to software architecture as a discipline.
Andrea Goulet,F,gender-guesser,founder_ceo,1,1,0,0,0,"{""software engineering"": 1}",Andrea Goulet - A leader in the field of empathy-driven development and the CEO of Corgibytes.
Jeff Atwood,M,gender-guesser,founder_ceo,13,2,2,8,1,"{""software engineering"": 12, ""ICT"": 1}","Coding Horror - A blog by Jeff Atwood, co-founder of Stack Overflow, discussing various software engineering topics."
Pat Helland,unclassified,unclassified,practitioner,1,1,0,0,0,"{""software engineering"": 1}","Pat Helland: Known for his work on distributed systems and databases, offering deep insights into system architecture."
Sarah Drasner,F,gender-guesser,vendor_exec,5,2,0,3,0,"{""software engineering"": 5}","Sarah Drasner - A leader in the web development community, offering insights into modern web technologies."
Gergely Orosz,M,gender-guesser,influencer,33,2,8,16,7,"{""software engineering"": 33}","Gergely Orosz - Runs ""The Pragmatic Engineer"" newsletter, providing deep dives into software engineering topics and industry insights."
Simon Brown,M,gender-guesser,practitioner,14,3,0,0,11,"{""software engineering"": 14}","Simon Brown - An expert on software architecture, known for his work on the C4 model for visualizing software architecture."
Barry W. Boehm,M,gender-guesser,academic,29,6,10,5,8,"{""software engineering"": 29}",Barry Boehm - Known for his work on software cost estimation and the development of the COCOMO model and the Spiral model
Frederick P. Brooks Jr.,M,gender-guesser,academic,95,8,36,5,46,"{""software engineering"": 95}","Fred Brooks - Famous for his seminal book, ""The Mythical Man-Month,"" which addresses the complexities of software project management"
Gene Kim,M,llm-high,founder_ceo,105,9,11,2,83,"{""software engineering"": 63, ""cloud and infrastructure"": 42}","Gene Kim - An expert in DevOps and co-author of ""The Phoenix Project"" and ""The DevOps Handbook."" Kim is a leading voice in the DevOps community."
Neal Ford,M,gender-guesser,practitioner,9,1,2,3,3,"{""software engineering"": 6, ""cloud and infrastructure"": 3}","Neal Ford - A software architect at ThoughtWorks, known for his expertise in software design and architecture, as well as his advocacy for polyglot programming."
Richard Helm,M,gender-guesser,academic,36,3,0,0,33,"{""software engineering"": 36}","Erich Gamma, Richard Helm, Ralph Johnson, and John Vlissides (Gang of Four) - Known for their seminal work on design patterns."
Ralph Johnson,M,gender-guesser,academic,36,3,0,0,33,"{""software engineering"": 36}","Erich Gamma, Richard Helm, Ralph Johnson, and John Vlissides (Gang of Four) - Known for their seminal work on design patterns."
John Vlissides,M,gender-guesser,academic,36,3,0,0,33,"{""software engineering"": 36}","Erich Gamma, Richard Helm, Ralph Johnson, and John Vlissides (Gang of Four) - Known for their seminal work on design patterns."
Eric S. Raymond,M,gender-guesser,influencer,2,2,0,0,0,"{""software engineering"": 2}","Known for ""The Cathedral and the Bazaar,"" which discusses software development models and open-source software."
Hadi Hariri,M,gender-guesser,influencer,1,1,0,0,0,"{""software engineering"": 1}","Hadi Hariri - Developer advocate and technical speaker, known for insights on Kotlin and software engineering practices."
Joel Spolsky,M,gender-guesser,founder_ceo,16,6,4,4,2,"{""software engineering"": 15, ""ICT"": 1}","Joel Spolsky - Co-founder of Stack Overflow and author of ""Joel on Software,"" a blog that covers a wide range of software development topics."
Jessica Kerr,F,gender-guesser,practitioner,21,1,14,0,6,"{""software engineering"": 21}",Jessica Kerr - A software developer and speaker who discusses complex systems and functional programming.
Martin Kleppmann,M,gender-guesser,practitioner,27,1,3,0,23,"{""software engineering"": 13, ""data and analytics"": 12, ""cloud and infrastructure"": 2}","Martin Kleppmann - Recognized for his work on data systems and author of ""Designing Data-Intensive Applications."""
Kevin Behr,M,gender-guesser,practitioner,5,1,0,0,4,"{""software engineering"": 3, ""cloud and infrastructure"": 2}","Gene Kim, Kevin Behr, and George Spafford - Authors of ""The Phoenix Project,"" a novel about IT and DevOps."
George Spafford,M,gender-guesser,influencer,5,1,0,0,4,"{""software engineering"": 3, ""cloud and infrastructure"": 2}","Gene Kim, Kevin Behr, and George Spafford - Authors of ""The Phoenix Project,"" a novel about IT and DevOps."
David Farley,M,gender-guesser,influencer,18,1,1,0,16,"{""software engineering"": 17, ""cloud and infrastructure"": 1}","A thought leader in continuous delivery and software development practices, Dave Farley is a co-author of ""Continuous Delivery."""
Dianne Marsh,F,gender-guesser,practitioner,1,1,0,0,0,"{""software engineering"": 1}","As leaders in the software engineering community, they have contributed to discussions on trends and best practices through their work with O'Reilly Media."
Mike Loukides,M,gender-guesser,analyst,1,1,0,0,0,"{""software engineering"": 1}","As leaders in the software engineering community, they have contributed to discussions on trends and best practices through their work with O'Reilly Media."
Dr. Nicole Forsgren,F,gender-guesser,academic,73,1,10,1,61,"{""software engineering"": 42, ""cloud and infrastructure"": 30, ""cybersecurity"": 1}","Known for her research on DevOps and IT performance, Nicole Forsgren is a co-author of ""Accelerate,"" which explores the science of lean software."
Mary Allen Wilkes,F,llm-high,practitioner,2,1,1,0,0,"{""software engineering"": 2}","An early computer programmer who worked on the LINC (Laboratory Instrument Computer), one of the first personal computers."
Carol Shaw,F,llm-high,practitioner,2,1,0,0,1,"{""software engineering"": 2}","One of the first female video game designers and programmers, Carol Shaw is best known for her work on games like River Raid."
Ward Cunningham,M,gender-guesser,practitioner,14,4,5,0,5,"{""software engineering"": 14}",Ward Cunningham - Inventor of the wiki and a pioneer in the development of design patterns and Extreme Programming
Rebecca Wirfs-Brock,F,gender-guesser,practitioner,1,1,0,0,0,"{""software engineering"": 1}","Rebecca Wirfs-Brock - A pioneer in object-oriented design, she developed the Responsibility-Driven Design methodology and has contributed extensively to software design practices."
Andrew Hunt,M,gender-guesser,practitioner,15,1,2,0,12,"{""software engineering"": 15}","Dave Thomas and Andy Hunt - Authors of ""The Pragmatic Programmer,"" a seminal book in software craftsmanship."
Cory House,unclassified,unclassified,practitioner,1,1,0,0,0,"{""software engineering"": 1}","Cory House - A software engineer, speaker, and author known for his work and courses on JavaScript and software craftsmanship."
Alan Turing,M,gender-guesser,academic,35,1,8,22,4,"{""software engineering"": 18, ""ICT"": 17}","Alan Turing: Often considered the father of computer science, Turing's work laid foundational principles for computing and algorithms."
Brendan Eich,M,gender-guesser,practitioner,27,2,19,0,6,"{""software engineering"": 25, ""ICT"": 2}","Brendan Eich - Creator of JavaScript, which is essential for web development and continues to evolve with the web."
D.J. Patil,M,llm-high,practitioner,186,71,71,0,44,"{""data and analytics"": 179, ""ICT"": 7}","Known as one of the first Chief Data Scientists of the United States, DJ Patil has been influential in advocating for data science at a national level."
Hillary Mason,F,gender-guesser,founder_ceo,193,73,71,7,42,"{""data and analytics"": 190, ""AI and machine learning"": 2, ""ICT"": 1}","A prominent data scientist and the founder of Fast Forward Labs, Hilary Mason is well-regarded for her work in applying machine learning to practical business problems."
Claudia Perlich,F,gender-guesser,practitioner,53,52,0,0,1,"{""data and analytics"": 53}","Known for her expertise in predictive modeling and data mining, Perlich has been a strong advocate for the application of data science in marketing and advertising."
Carla Gentry,F,gender-guesser,practitioner,32,1,6,14,11,"{""data and analytics"": 31, ""ICT"": 1}","Carla Gentry - Known as the ""Data Nerd,"" Gentry is a prominent data scientist and influencer who has worked with many Fortune 500 companies."
Hadley Wickham,F,gender-guesser,vendor_exec,83,23,27,0,33,"{""data and analytics"": 83}","Hadley Wickham - A prominent statistician and Chief Scientist at RStudio, Wickham has developed several widely-used tools for data analysis in the R programming language."
Dean Abbott,M,gender-guesser,founder_ceo,8,8,0,0,0,"{""data and analytics"": 8}","Dean Abbott - A seasoned data scientist and co-founder of SmarterHQ, Abbott is recognized for his expertise in predictive analytics and data mining."
Kirk Borne,M,gender-guesser,influencer,147,46,30,32,39,"{""data and analytics"": 139, ""ICT"": 8}","Kirk Borne: A well-respected data scientist and astrophysicist, Borne is known for his work in big data and data-driven decision-making."
Jeffrey Heer,M,gender-guesser,academic,8,8,0,0,0,"{""data and analytics"": 8}","A professor at the University of Washington and co-founder of Trifacta, Heer is known for his work on data visualization."
Monica Rogati,F,gender-guesser,practitioner,90,16,62,0,12,"{""data and analytics"": 89, ""ICT"": 1}",Monica Rogati - A data science and AI advisor known for her expertise in data strategy and machine learning.
Jeff Hammerbacher,M,gender-guesser,founder_ceo,12,1,4,0,7,"{""data and analytics"": 12}","One of the early architects of the data science team at Facebook, Hammerbacher has contributed significantly to the development of big data technologies."
Nate Silver,F,gender-guesser,founder_ceo,50,21,27,0,2,"{""data and analytics"": 50}","A statistician and writer, Silver gained fame for his accurate election forecasts and is the founder of the website FiveThirtyEight"
Hilary Parker,F,gender-guesser,analyst,1,1,0,0,0,"{""data and analytics"": 1}",Parker has contributed significantly to the understanding and application of data science.
Bernard Marr,M,gender-guesser,analyst,139,37,15,44,43,"{""data and analytics"": 115, ""ICT"": 15, ""AI and machine learning"": 9}","An author and strategic advisor, Marr frequently writes and speaks about big data, analytics, and AI, making complex topics accessible to a broad audience."
Josh Bersin,M,gender-guesser,analyst,2,1,0,0,1,"{""data and analytics"": 1, ""ICT"": 1}","While more focused on HR analytics, Bersin's insights into data-driven human resource management are influential across the analytics community."
Thomas H. Davenport,M,gender-guesser,academic,128,25,35,17,51,"{""data and analytics"": 117, ""ICT"": 10, ""AI and machine learning"": 1}","Thomas Davenport - A professor and author, Thomas Davenport has written extensively on business analytics and big data, contributing to academic and practical advancements."
Ben Lorica,M,gender-guesser,analyst,30,9,0,18,3,"{""data and analytics"": 29, ""AI and machine learning"": 1}","Ben Lorica - As a data scientist and former Chief Data Scientist at O'Reilly Media, Ben Lorica is known for his insights into emerging data technologies and trends."
Jennifer Prendki,F,gender-guesser,founder_ceo,1,1,0,0,0,"{""data and analytics"": 1}","Founder and CEO of Alectio, Prendki is an advocate for efficient machine learning practices and has expertise in active learning."
Alberto Cairo,M,gender-guesser,academic,32,2,17,0,13,"{""data and analytics"": 32}","Alberto Cairo - A data visualization expert, he provides insights on how to effectively communicate data."
Avinash Kaushik,M,gender-guesser,vendor_exec,13,7,5,0,1,"{""data and analytics"": 13}","Avinash Kaushik - A digital marketing evangelist at Google, known for his expertise in web analytics."
Hans Rosling,M,gender-guesser,founder_ceo,20,3,13,0,4,"{""data and analytics"": 20}","Hans Rosling - Although he passed away in 2017, Rosling's work in data visualization and his ability to present complex data remains influential."
Eric Siegel,M,gender-guesser,founder_ceo,2,1,1,0,0,"{""data and analytics"": 2}","Eric Siegel: An expert in predictive analytics, Siegel is the author of ""Predictive Analytics: The Power to Predict Who Will Click, Buy, Lie"
Clive Humby,M,gender-guesser,analyst,2,2,0,0,0,"{""data and analytics"": 2}","Known for his work on customer data analytics, Humby famously coined the phrase ""Data is the new oil."""
Vin Vashishta,unclassified,unclassified,founder_ceo,5,1,1,3,0,"{""data and analytics"": 5}",Vin Vashishta - A data strategy expert who shares insights on the business value of data science and AI.
Randall Olson,M,gender-guesser,academic,4,1,2,0,1,"{""data and analytics"": 4}",Randy Olson - A data scientist known for his work on data visualization and making data science accessible to a broader audience.
Cindi Howson,F,gender-guesser,vendor_exec,64,2,3,50,9,"{""data and analytics"": 63, ""ICT"": 1}","Cindi Howson - Chief Data Strategy Officer at ThoughtSpot, Howson is a respected expert in business intelligence and analytics."
Martin Lindstrom,M,gender-guesser,influencer,1,1,0,0,0,"{""data and analytics"": 1}","Martin Lindstrom - Known for his work on brand strategy and consumer psychology, he often utilizes data-driven insights."
Deborah Berebichez,F,gender-guesser,academic,4,4,0,0,0,"{""data and analytics"": 4}","A physicist and data scientist, Berebichez is known for her efforts to promote STEM education among women and minorities."
Nina Tandon,F,gender-guesser,founder_ceo,2,2,0,0,0,"{""data and analytics"": 2}","While primarily known for her work in biotechnology, Tandon uses data analytics in her research on tissue engineering and regenerative medicine."
Viktor Mayer-Schönberger,M,gender-guesser,academic,10,1,3,0,6,"{""data and analytics"": 10}","""Big Data: A Revolution That Will Transform How We Live, Work, and Think"" by Viktor Mayer-Schönberger and Kenneth Cukier"
Kenneth Cukier,M,gender-guesser,journalist,10,1,2,0,7,"{""data and analytics"": 10}","""Big Data: A Revolution That Will Transform How We Live, Work, and Think"" by Viktor Mayer-Schönberger and Kenneth Cukier"
Jeanne G. Harris,F,gender-guesser,vendor_exec,6,1,0,0,5,"{""data and analytics"": 6}","""Competing on Analytics"" by Thomas H. Davenport and Jeanne G. Harris: A foundational text on using analytics for competitive advantage."
Cynthia Dwork,F,gender-guesser,academic,3,2,1,0,0,"{""data and analytics"": 2, ""ICT"": 1}","Cynthia Dwork - A pioneer in the field of differential privacy, Dwork has made significant contributions to data privacy and cryptography."
Dr. Rumman Chowdhury,F,llm-high,practitioner,8,1,0,0,7,"{""data and analytics"": 5, ""AI and machine learning"": 3}","Rumman Chowdhury - Known for her work on ethical AI, Chowdhury has been influential in discussions about bias in machine learning and has led AI initiatives at companies like Accenture."
Jennifer Priestley,F,gender-guesser,academic,4,4,0,0,0,"{""data and analytics"": 4}","Jennifer Priestly - A professor of data science and statistics, Priestly has made significant contributions to data science education."
Jennifer Chayes,F,gender-guesser,academic,3,2,0,0,1,"{""data and analytics"": 3}","Jennifer Chayes: A prominent mathematician and computer scientist, her work spans network science, machine learning"
John W. Tukey,M,gender-guesser,academic,5,1,1,0,3,"{""data and analytics"": 5}",Tukey's foundational work in exploratory data analysis continues to influence the field today.
Meredith Lee,unclassified,unclassified,other,1,1,0,0,0,"{""data and analytics"": 1}","Meredith Lee - An advocate for open data and data-driven policy, she has worked extensively on leveraging data for social good."
Ben Shneiderman,M,gender-guesser,academic,1,1,0,0,0,"{""data and analytics"": 1}","A pioneer in human-computer interaction and information visualization, Shneiderman's work has guided the development of intuitive data analytics tools."
Randy Bean,unclassified,unclassified,founder_ceo,39,5,3,16,15,"{""data and analytics"": 39}","Randy Bean - An author and thought leader in the data and analytics space, Bean focuses on the intersection of data and business strategy."
Léa Kissner,F,gender-guesser,practitioner,1,1,0,0,0,"{""data and analytics"": 1}","Léa Kissner - Known for their expertise in privacy-preserving data usage and leadership roles in tech companies, Kissner has been influential in shaping data privacy discussions."
Hector Garcia-Molina,M,gender-guesser,academic,1,1,0,0,0,"{""data and analytics"": 1}",Jeffrey Ullman and Hector Garcia-Molina: Both are well-known for their contributions to database systems and data management.
Randy Krum,M,llm-high,founder_ceo,1,1,0,0,0,"{""data and analytics"": 1}","Randy Krum: An expert in data visualization, Krum is known for his contributions to making complex data more accessible and understandable."
Martin Casado,M,gender-guesser,founder_ceo,54,15,4,0,35,"{""networking and telecommunications"": 37, ""ICT"": 3, ""AI and machine learning"": 8, ""cloud and infrastructure"": 5, ""software engineering"": 1}","A pioneer in software-defined networking (SDN), Casado co-founded Nicira, a company that played a significant role in advancing network virtualization."
Henning Schulzrinne,M,gender-guesser,academic,34,15,7,12,0,"{""networking and telecommunications"": 34}","Known for his work on the development of key protocols that enable Voice over IP (VoIP), including the Session Initiation Protocol (SIP)."
Nick McKeown,M,gender-guesser,academic,68,12,27,0,29,"{""networking and telecommunications"": 68}","A professor at Stanford University, McKeown has been influential in the development of programmable networks and SDN."
Jennifer Rexford,F,gender-guesser,academic,65,8,29,0,28,"{""networking and telecommunications"": 65}","A computer scientist and professor at Princeton University, Rexford has made significant contributions to network routing and management."
Leonard Kleinrock,M,gender-guesser,academic,56,5,25,0,26,"{""networking and telecommunications"": 55, ""ICT"": 1}","A pioneer in the field of computer networking, Kleinrock developed the mathematical theory of packet networks, which underpins the Internet."
Martin Cooper,M,gender-guesser,practitioner,19,10,5,0,4,"{""networking and telecommunications"": 18, ""ICT"": 1}","Often called the ""father of the cell phone,"" Cooper led the team at Motorola that developed the first handheld mobile phone."
Robert E. Kahn,M,gender-guesser,academic,62,3,1,4,54,"{""networking and telecommunications"": 46, ""ICT"": 15, ""software engineering"": 1}","Along with Vint Cerf, Kahn co-invented the TCP/IP protocols and has been a key figure in Internet development."
Yoshinobu Matsuzaki,M,gender-guesser,practitioner,1,1,0,0,0,"{""networking and telecommunications"": 1}","Known for his expertise in network operations and community contributions, Matsuzaki has been influential in shaping best practices for network engineering."
Robert Metcalfe,M,gender-guesser,founder_ceo,5,1,0,0,4,"{""networking and telecommunications"": 5}","Known for inventing Ethernet, Metcalfe's contributions have been vital to local area networking."
David Cheriton,M,gender-guesser,academic,1,1,0,0,0,"{""networking and telecommunications"": 1}","A computer scientist with influential work in networking, especially in the development of key Internet technologies and protocols."
Susan R. Harris,F,gender-guesser,academic,1,1,0,0,0,"{""networking and telecommunications"": 1}","Known for her work in the management and operation of large-scale networks, including significant contributions to the Internet2 project."
Andrew Blum,M,gender-guesser,journalist,3,2,1,0,0,"{""networking and telecommunications"": 3}","Author of ""Tubes: A Journey to the Center of the Internet,"" he offers insights into the physical infrastructure of the internet."
Ray Le Maistre,unclassified,unclassified,journalist,8,3,2,0,3,"{""networking and telecommunications"": 8}","Editorial Director at Light Reading, known for his insights into telecom networks and technology."
John Cioffi,M,gender-guesser,academic,5,5,0,0,0,"{""networking and telecommunications"": 5}","Known for his contributions to DSL technology, he has been a leading figure in broadband communications."
Lisa Pierce,F,gender-guesser,analyst,3,1,0,0,2,"{""networking and telecommunications"": 3}",Lisa Pierce: Known for her expertise in telecommunications and networking.
Stéphane Téral,M,llm-high,analyst,2,1,0,0,1,"{""networking and telecommunications"": 2}",Stéphane Téral: A recognized expert in the telecom industry with a focus on market trends.
Dean Bubley,M,gender-guesser,analyst,27,6,8,9,4,"{""networking and telecommunications"": 25, ""ICT"": 2}",Dean Bubley: An analyst and futurist focusing on the telecoms industry.
Simon Saunders,M,gender-guesser,academic,1,1,0,0,0,"{""networking and telecommunications"": 1}",Simon Saunders: A well-regarded expert in wireless communications.
Caroline Gabriel,F,gender-guesser,founder_ceo,12,2,0,0,10,"{""networking and telecommunications"": 12}",Caroline Gabriel: Recognized for her work in mobile and wireless technology trends.
